Competition,Team,Opponent,HT goals for,HT goals against,HT goal difference,HT state,FT goals for,FT goals against,FT goal difference,FT result,1H Possession %,1H Possession difference %,1H Shots,1H Shots on target,1H Shots off target,1H Blocked shots,1H Shots inside box,1H Passes attempted,1H Passes completed,1H Pass accuracy %,1H Corners,1H Free kicks,1H Tackles,1H Tackles won,1H Interceptions,1H Clearances,1H Saves,1H Fouls,1H Yellow cards,1H Red cards,1H Offsides,2H Possession %,2H Possession difference %,2H Shots,2H Shots on target,2H Shots off target,2H Blocked shots,2H Shots inside box,2H Passes attempted,2H Passes completed,2H Pass accuracy %,2H Corners,2H Free kicks,2H Tackles,2H Tackles won,2H Interceptions,2H Clearances,2H Saves,2H Fouls,2H Yellow cards,2H Red cards,2H Offsides
Women's World Cup,England Women's,Denmark Women's,1,0,1,Winning,1,0,1,Winning,78.22,56.44,6,4,2,0,4,395,338,85.57,4,8,7,5,1,7,0,3,0,0,0,59.55,19.09,6,0,6,0,5,262,212,80.92,5,4,11,4,7,23,0,4,0,0,0
Women's World Cup,Vietnam Women's,Portugal Women's,0,2,-2,Losing,0,2,-2,Losing,33.85,-32.3,3,1,1,1,0,153,96,62.75,1,7,8,7,5,8,0,5,0,0,1,29.37,-41.26,2,0,1,1,0,131,70,53.44,0,5,10,3,7,16,0,3,0,0,0
Women's World Cup,Portugal Women's,Vietnam Women's,2,0,2,Winning,2,0,2,Winning,66.15,32.3,10,5,5,0,10,299,250,83.61,0,6,7,4,1,7,0,5,0,0,2,70.63,41.26,19,4,13,2,14,315,257,81.59,9,3,7,4,2,4,0,5,1,0,0
Women's World Cup,Netherlands Women's,Portugal Women's,1,0,1,Winning,1,0,1,Winning,58.72,17.44,7,3,3,1,5,229,179,78.17,2,8,22,12,12,5,0,4,0,0,1,53.4,6.79,5,2,1,2,4,228,168,73.68,1,7,20,12,7,13,0,4,1,0,2
Women's World Cup,Portugal Women's,Netherlands Women's,0,1,-1,Losing,0,1,-1,Losing,41.28,-17.44,0,0,0,0,0,161,102,63.35,0,5,17,9,7,5,0,8,0,0,0,46.6,-6.79,2,1,1,0,1,199,139,69.85,1,6,18,12,13,6,0,7,2,0,1
Women's World Cup,Korea Republic Women's,France Women's,0,3,-3,Losing,0,4,-4,Losing,31.57,-36.87,1,0,0,1,0,143,102,71.33,1,5,9,6,5,23,0,3,0,0,0,35.85,-28.29,4,0,2,2,1,185,147,79.46,0,8,8,4,2,22,0,8,0,0,0
Women's World Cup,France Women's,Korea Republic Women's,3,0,3,Winning,4,0,4,Winning,68.43,36.87,16,6,6,4,10,310,268,86.45,10,3,6,5,6,6,0,4,0,0,1,64.15,28.29,5,2,1,2,0,331,294,88.82,3,8,6,3,3,4,0,8,0,0,1
UEFA Euro,Italy,Austria,0,0,0,Drawing,0,0,0,Drawing,54.25,8.5,12,2,4,5,6,332,302,90.96,2,7,5,3,6,6,0,6,0,0,1,55.62,11.25,6,0,4,2,4,272,228,83.82,1,9,8,5,10,4,0,5,2,0,2
UEFA Euro,Austria,Italy,0,0,0,Drawing,0,0,0,Drawing,45.75,-8.5,1,0,1,0,0,280,235,83.93,0,7,18,12,10,9,0,8,1,0,0,44.38,-11.25,8,1,4,3,2,217,174,80.18,2,3,6,3,14,9,0,7,0,0,2
Copa del Rey,Barcelona,Athletic Club,0,1,-1,Losing,0,1,-1,Losing,66.57,33.14,4,2,1,1,1,231,192,83.12,4,20,8,6,2,19,0,7,1,0,0,64.49,28.97,10,3,3,4,4,207,168,81.16,5,16,7,7,1,9,0,14,3,0,1
Copa del Rey,Athletic Club,Barcelona,1,0,1,Winning,1,0,1,Winning,33.43,-33.14,6,3,1,2,2,116,60,51.72,2,7,20,14,5,19,0,18,3,0,4,35.51,-28.97,2,1,0,1,0,114,74,64.91,2,12,18,9,6,15,0,14,0,0,4
Women's World Cup,Spain Women's,Zambia W,2,0,2,Winning,5,0,5,Winning,75.68,51.35,8,3,2,3,6,420,365,86.9,2,2,14,8,6,11,0,3,0,0,1,71.37,42.75,14,10,4,0,11,364,306,84.07,7,5,14,9,3,15,0,4,0,0,1
Women's World Cup,Zambia W,Spain Women's,0,2,-2,Losing,0,5,-5,Losing,24.32,-51.35,3,1,2,0,2,135,79,58.52,2,4,15,10,8,14,0,1,0,0,1,28.63,-42.75,7,1,3,3,4,146,85,58.22,1,5,8,5,12,14,0,5,2,0,1
